product_id,campaign_budget,channels
187,363627,"Online, Radio, Print"
188,383248,Print
189,394870,Online
190,159786,Online
191,118866,Outdoor
192,465378,"Outdoor, Social Media, Print"
193,348895,Outdoor
194,383883,"Social Media, Radio"
195,92257,"Online, TV, Outdoor"
196,235606,Radio
197,78489,"Print, Outdoor, Online"
198,345988,"Social Media, Print"
199,270211,"Outdoor, TV"
200,253159,"Outdoor, Social Media, TV"
201,456308,"Online, TV"
202,383053,"Radio, Social Media"
203,483914,"Print, Radio"
204,70821,"TV, Outdoor, Social Media"
205,327055,Outdoor
206,333598,Outdoor
207,61944,Print
208,404186,Outdoor
209,119127,"Print, Online, Radio"
210,365572,"Radio, TV"
211,67021,Social Media
212,326159,Print
213,284351,"Online, Radio"
214,267475,"Radio, TV, Outdoor"
215,214999,Print
216,239107,"Radio, Outdoor, Print"
217,264602,Online
218,183960,"Radio, TV, Print"
219,470880,"Outdoor, Online"
220,484251,"Print, Social Media, TV"
221,184956,"Outdoor, Radio, TV"
222,400411,Social Media
223,388228,TV
224,444012,Online
225,51731,TV
226,202153,"Online, Social Media"
227,115245,Online
228,225886,"Print, Online, Social Media"
229,309033,"Print, Radio"
230,458982,"TV, Print, Online"
231,427826,"Print, Social Media"
232,274560,Radio
233,60576,"TV, Print, Online"
234,185402,"Outdoor, Social Media, TV"
235,97975,"TV, Print"
236,342785,"Radio, Print"
237,362943,"Radio, Print, Online"
238,341961,"Print, Online"
239,173623,Outdoor
240,463779,"Radio, Social Media"
241,314828,"TV, Online, Radio"
242,318762,Print
243,417001,"Outdoor, TV, Social Media"
244,81160,"TV, Social Media, Outdoor"
245,144324,"Online, TV"
246,315312,"Social Media, Online, Radio"
247,324695,"Print, TV"
248,260044,"Social Media, TV"
249,400972,"Online, Print, TV"
250,205531,"Outdoor, TV"
251,55055,"Print, Social Media"
252,202982,"Print, Radio"
253,484646,Radio
254,400566,"Outdoor, Social Media"
255,193213,Radio
256,150102,Print
257,414621,"Outdoor, Radio"
258,139954,"Print, Radio, TV"
259,311089,"Online, Print"
260,278582,"Online, Radio, Print"
261,240201,TV
262,241683,"TV, Outdoor, Social Media"
263,366062,"TV, Online"
264,96277,"Social Media, Radio"
265,227852,"Online, Outdoor"
266,485772,"Social Media, Online"
267,400172,"TV, Print"
268,59465,"Online, Radio, Print"
269,251175,"Outdoor, Social Media, Print"
270,102737,Print
271,268121,"Online, Outdoor, TV"
272,96612,"TV, Social Media, Online"
273,225146,"Outdoor, Print"
274,295248,Social Media
275,215289,"Online, Print, TV"
276,310359,"TV, Print"
277,493272,"Online, Outdoor, Radio"
278,160604,"Print, Radio"
279,304029,"Print, Outdoor"
280,262096,Outdoor
281,414169,"Outdoor, Radio, Social Media"
282,191697,"Print, Social Media, Outdoor"
283,337106,"Social Media, TV, Online"
284,361831,"Online, Radio"
285,489047,"Social Media, TV, Print"
286,118069,"Social Media, Print, Radio"
287,499231,Print
288,374544,Online
289,255352,TV
290,168603,"Online, TV, Print"
291,332916,"Outdoor, Print"
292,113807,Radio
293,476050,Social Media
294,132991,"TV, Print"
295,398437,"Outdoor, Online"
296,205316,Social Media
297,147131,"Online, TV"
298,413899,Social Media
299,449527,TV
300,52530,"Print, Online, TV"
301,488368,"Radio, Online"
302,239864,Outdoor
303,93234,"TV, Social Media"
304,253960,Social Media
305,103356,Radio
306,166452,Outdoor
307,300880,"Online, Radio, TV"
308,211639,"Print, Social Media"
309,152530,"Social Media, TV, Outdoor"
310,138417,"Online, Outdoor"
311,336465,"Online, Print"
312,459360,Radio
313,75391,"Online, Radio"
314,159901,"Online, Print, Outdoor"
315,349434,"Social Media, Print"
316,494307,"Online, Print, Outdoor"
317,356607,"Social Media, Radio, Print"
318,73681,Outdoor
319,130489,"Outdoor, Social Media, TV"
320,206450,"Outdoor, Online, TV"
321,120831,"Online, Social Media"
322,132024,Radio
323,173144,"Radio, Print"
324,217749,Social Media
325,226330,"Radio, Outdoor"
326,274720,"Social Media, Print, TV"
327,467706,"Outdoor, TV"
328,497007,"Radio, Online"
329,58871,Outdoor
330,272196,TV
331,388436,Online
332,82983,TV
333,473535,TV
334,471970,"Online, Print, Radio"
335,143777,Print
336,403585,"Print, Radio"
337,311660,TV
338,65255,"Radio, Social Media"
339,183786,"Social Media, Online"
340,168519,"Outdoor, Print"
341,445873,Print
342,453875,Online
343,65510,Outdoor
344,383635,Print
345,103934,TV
346,405916,Outdoor
347,430525,"Social Media, Print"
348,76662,TV
349,196817,Outdoor
350,220862,"Radio, TV, Print"
351,479817,"Social Media, TV"
352,216914,Online
353,165199,Radio
354,328864,"TV, Social Media"
355,121502,"Radio, Outdoor"
356,331288,"Online, Outdoor"
357,256359,"TV, Print"
358,379148,Print
359,310469,"Online, TV"
360,129462,Radio
361,471820,"Radio, Outdoor"
362,251951,"Social Media, TV"
363,385053,"TV, Online"
364,289374,"Print, Outdoor, Social Media"
365,439372,"Radio, Social Media, Print"
366,201661,Outdoor
367,337489,"Social Media, Outdoor"
368,85724,Radio
369,84983,"Social Media, Print, Radio"
370,429592,"Print, Outdoor"
371,418270,"Print, Social Media"
372,211682,Print
373,354206,"Social Media, Print"
374,423043,"Radio, Online, Outdoor"
375,114734,Print
376,493132,"Outdoor, Online, Social Media"
377,448633,"TV, Social Media, Print"
378,360912,Social Media
379,294453,"Print, Social Media"
380,452717,Print
381,382699,"Print, Outdoor"
382,313122,Online
383,451215,"Radio, Online, Social Media"
384,144779,Outdoor
385,159969,Outdoor
386,468551,"Radio, Print"
387,80193,"Radio, Online"
388,70771,"Social Media, Online, TV"
389,406374,"Social Media, Online, Outdoor"
390,236299,"Social Media, Online"
391,462315,"Print, Social Media, Radio"
392,185310,Print
393,179254,Online
394,480748,Online
395,299195,"TV, Outdoor, Radio"
396,326169,"TV, Social Media"
397,454135,"Social Media, Online"
398,221369,"Social Media, Outdoor, TV"
399,161538,"Social Media, Online"
400,306982,"Radio, Outdoor, Social Media"
401,234510,Social Media
402,123616,Outdoor
403,103370,"Radio, Social Media, Print"
404,376456,"Online, TV, Radio"
405,65392,TV
406,287394,TV
407,198342,"Print, Radio"
408,117909,Outdoor
409,450800,"TV, Social Media"
410,383244,"Outdoor, TV, Social Media"
411,397894,TV
412,246150,"Print, TV, Outdoor"
413,341756,Outdoor
414,90744,"TV, Social Media"
415,112674,"Outdoor, Print"
416,195156,"Print, Social Media, Outdoor"
417,255999,"Social Media, Outdoor"
418,92218,"Outdoor, Social Media"
419,304238,Print
420,157911,"Social Media, TV, Radio"
421,398551,"Radio, Social Media, Print"
422,50211,"Social Media, TV, Online"
423,439735,"Print, TV, Radio"
424,379661,Online
425,295778,Social Media
426,381890,Social Media
427,214061,Online
428,123164,Print
429,54100,"Outdoor, TV, Radio"
430,296850,Online
431,181374,"Social Media, Radio, Online"
432,145710,"Print, TV, Social Media"
433,440154,Outdoor
434,376326,"Social Media, Radio, Print"
435,495579,Outdoor
436,347704,Outdoor
437,452915,"Online, Outdoor"
438,103251,"Radio, Print"
439,375243,"Social Media, Print, Online"
440,88801,"Online, Outdoor, Radio"
441,92557,"Radio, Print"
442,436026,"Online, Outdoor"
443,212038,"Radio, Social Media, Outdoor"
444,192395,"Radio, Outdoor"
445,132702,"Outdoor, Online, TV"
446,268224,"Social Media, Radio, Print"
447,141612,"Print, Outdoor"
448,292031,"Social Media, Outdoor, Radio"
449,347197,Radio
450,344710,Outdoor
451,214092,TV
452,366817,"Radio, TV, Online"
453,169738,Social Media
454,413457,Print
455,50052,"Outdoor, Online"
456,484954,Online
457,245108,"Social Media, Print"
458,200298,"Online, Print"
459,331017,Outdoor
460,445594,"TV, Print, Online"
461,208657,"Outdoor, Print"
462,81519,"Radio, TV, Social Media"
463,209225,"TV, Social Media"
464,52289,"Radio, TV, Social Media"
465,133269,Radio
466,73403,"Radio, Online, TV"
467,224413,"Outdoor, TV"
468,76887,"Online, Radio, Social Media"
469,492767,"Outdoor, Social Media"
470,401862,"Social Media, Online"
471,238790,"Online, Outdoor"
472,405690,Radio
473,237813,Online
474,341187,"Outdoor, Online, Social Media"
475,419682,"TV, Outdoor"
476,357981,"Print, TV"
477,88030,"Social Media, TV"
478,69569,"Online, Radio"
479,306457,"Radio, Online, TV"
480,138393,"Radio, TV, Outdoor"
481,492842,TV
482,57332,"Social Media, Radio, Print"
483,386837,Print
484,69100,"Print, Social Media"
485,324893,"Outdoor, Online, Social Media"
486,239020,"Print, Online, Radio"
487,334770,TV
488,392881,"Radio, Outdoor, Online"
489,64940,Print
490,284567,"Radio, Outdoor, Social Media"
491,474053,"Print, Online"
492,148002,Print
493,84861,Social Media
494,396934,Social Media
495,383649,"Social Media, Outdoor"
496,225570,"Online, Print, Radio"
497,423611,"Social Media, Radio"
498,294755,"Radio, TV, Outdoor"
499,263912,"Social Media, TV, Online"
500,419835,"Print, TV"
501,94163,Online
502,150755,TV
503,249861,"Social Media, TV"
504,88445,"Social Media, Online, Print"
505,498142,"Online, Outdoor, Social Media"
506,191089,"Social Media, Print"
507,476485,"Radio, Online"
508,263503,"TV, Outdoor, Print"
509,466033,"Outdoor, TV"
510,247993,"Outdoor, Social Media"
511,416626,Print
512,387994,"Radio, TV"
513,476103,"TV, Online"
514,336853,"Print, Outdoor"
515,152188,Online
516,293856,Online
517,115644,"Online, Social Media, Radio"
518,200692,"Print, Radio, Online"
519,405135,Social Media
520,56286,"TV, Print, Outdoor"
521,329389,"Outdoor, TV"
522,361844,"Outdoor, TV"
523,454906,"Outdoor, Social Media"
524,390410,"Online, Outdoor, TV"
525,231270,"TV, Radio"
526,394510,Online
527,331465,Radio
528,314038,Print
529,83184,Print
530,292857,"Print, Outdoor, TV"
531,440194,Radio
532,246583,"Outdoor, Social Media, Online"
533,366871,"Outdoor, Radio"
534,456682,Social Media
535,290376,"Radio, Outdoor, Print"
536,89656,"Print, Outdoor, Social Media"
537,74412,Social Media
538,408967,"Social Media, Radio"
539,64716,"Online, TV, Print"
540,499513,"Online, Outdoor"
541,107379,Online
542,398812,"Social Media, Outdoor, Print"
543,440472,"Social Media, TV, Online"
544,187893,"TV, Print, Outdoor"
545,293730,"Online, Print"
546,478569,"Print, Radio"
547,479820,Print
548,468550,"Social Media, Online"
549,173708,"Online, Print, Social Media"
550,76794,"Radio, Outdoor, Print"
551,96256,Online
552,113844,"Social Media, Print, TV"
553,352255,"TV, Online"
554,411097,"Radio, Social Media"
555,72647,"Outdoor, TV"
556,450682,Outdoor
557,386287,"Outdoor, Online"
558,288629,"Social Media, Online, TV"
559,495482,"TV, Online, Radio"
560,169334,Print
561,148104,"TV, Radio, Outdoor"
562,200661,"Outdoor, Online, Print"
563,286934,"Outdoor, Print, Online"
564,224077,"Outdoor, Print, TV"
565,423275,"Print, TV, Outdoor"
566,452521,"Print, Radio"
567,485000,"Online, Outdoor, Print"
568,418213,Outdoor
569,323651,"Print, Radio, Social Media"
570,326127,"Outdoor, Online, Social Media"
571,133921,"TV, Radio"
572,168446,"Outdoor, Print, TV"
573,498767,"TV, Radio"
574,167584,"Online, Outdoor"
575,260093,"TV, Social Media, Outdoor"
576,223390,Radio
577,359716,"Online, Radio, Social Media"
578,200974,Print
579,357327,Print
580,482361,"Social Media, Print"
581,163574,"Radio, Outdoor"
582,216805,"TV, Print"
583,203979,"Print, Online"
584,185161,"Online, Outdoor"
585,171628,Radio
586,333519,"Online, TV"
587,296649,"Social Media, TV, Outdoor"
588,278900,Outdoor
589,410264,"Social Media, Online"
590,115939,"Outdoor, Social Media"
591,126376,"TV, Outdoor"
592,280877,"Print, TV"
593,209177,Social Media
594,128205,Outdoor
595,360785,Radio
596,273234,"Radio, TV"
597,141007,"Print, Radio"
598,168982,Outdoor
599,375374,"Social Media, Outdoor"
600,197363,"Social Media, Online"
601,142033,"Print, Social Media, Outdoor"
602,484520,Outdoor
603,89620,Print
604,116111,Radio
605,372775,"Radio, Social Media"
606,241570,Online
607,388819,"Print, Social Media"
608,298750,Print
609,68097,"Print, TV"
610,357867,"Radio, TV, Social Media"
611,412594,"Online, Outdoor, Radio"
612,298704,Print
613,188402,"TV, Print"
614,56985,"Social Media, TV, Print"
615,458007,"Social Media, TV"
616,368141,"Social Media, Print, Radio"
617,70159,Radio
618,428266,"Social Media, Outdoor, Print"
619,73878,"Radio, Outdoor, Online"
620,370164,"Radio, Social Media"
621,362330,"TV, Print, Online"
622,462267,"Outdoor, Social Media, TV"
623,124443,"Online, Outdoor, Social Media"
624,305272,"Online, Outdoor, Radio"
625,295117,"TV, Online, Outdoor"
626,65741,"TV, Outdoor"
627,337238,"Print, Radio, TV"
628,164313,"Radio, Outdoor"
629,199621,"Outdoor, Print"
630,158609,"Social Media, TV, Outdoor"
631,75165,"Online, TV, Print"
632,124983,TV
633,143289,Radio
634,309797,"Online, Radio"
635,110730,"Radio, TV, Print"
636,464321,Online
637,154304,"Outdoor, Social Media"
638,343285,"Social Media, Outdoor"
639,120912,Radio
640,407810,Online
641,82181,"Print, TV"
642,381917,"Radio, Outdoor"
643,226924,Outdoor
644,259484,Social Media
645,214844,Online
646,230921,"Online, Outdoor"
647,52396,"Print, TV"
648,61767,Outdoor
649,407271,Online
650,146068,"TV, Print, Radio"
651,323284,"Outdoor, Radio, Online"
652,343996,"Outdoor, Radio, TV"
653,364092,TV
654,318804,"Online, Radio, Social Media"
655,332954,"Outdoor, Social Media, TV"
656,311677,Outdoor
657,467680,"Print, Radio, Online"
658,349063,"Radio, Print, Outdoor"
659,208821,"Radio, TV, Social Media"
660,210486,"Online, TV, Print"
661,85823,"Outdoor, Radio, TV"
662,496303,"Online, TV, Outdoor"
663,450845,TV
664,69381,"Social Media, Online"
665,437801,"TV, Radio, Print"
666,112291,"Online, TV"
667,157572,Outdoor
668,356354,"Online, Social Media, Outdoor"
669,378597,"Radio, Online"
670,277587,"Outdoor, Social Media"
671,485485,"Online, TV"
672,270327,"TV, Online"
673,166262,Outdoor
674,54077,Radio
675,440285,"Online, TV, Outdoor"
676,227889,Outdoor
677,402142,"Outdoor, Social Media, Online"
678,398234,"Print, TV"
679,69605,Outdoor
680,419708,"Radio, Print, Online"
681,180117,"TV, Online"
682,428554,TV
683,271477,"Print, TV, Radio"
684,316216,"Print, Online, Social Media"
685,95617,Print
686,220680,"Outdoor, Print, Radio"
687,486902,Radio
688,466651,"Online, Radio"
689,497391,"Radio, Print, Social Media"
690,279597,"Online, TV, Outdoor"
691,418223,Radio
692,254772,"Radio, Online"
693,473631,Online
694,493696,"Online, TV, Outdoor"
695,445007,Online
696,329523,Print
697,495029,"Print, TV, Radio"
698,492684,"TV, Radio, Online"
699,263786,"Online, Print, Radio"
700,186697,"Online, Radio, Print"
701,134339,"Online, Social Media"
702,354656,"TV, Social Media, Print"
703,65659,"Social Media, Online"
704,393723,Outdoor
705,73094,"Online, Outdoor, TV"
706,169417,"Social Media, Print"
707,274099,Outdoor
708,93845,"Online, Print, TV"
709,66334,"Radio, Outdoor"
710,265911,"Radio, Social Media, Outdoor"
711,449040,"TV, Radio, Online"
712,233741,"TV, Print"
713,140126,Radio
714,233758,"Radio, Social Media"
715,375186,"Print, Outdoor"
716,68613,"Social Media, Outdoor"
717,63835,"Social Media, Outdoor"
718,258252,"Print, Social Media, Radio"
719,354512,"Radio, TV, Online"
720,326191,Print
721,337020,Online
722,124573,"Online, TV"
723,292431,"TV, Print"
724,220065,"Radio, TV, Outdoor"
725,99723,"Print, Radio, Online"
726,107628,"TV, Social Media"
727,340405,"Print, Radio"
728,480749,Radio
729,97835,"Social Media, Radio"
730,272701,Online
731,161567,Print
732,176724,"Outdoor, TV"
733,151004,Social Media
734,295561,Radio
735,75521,"Radio, Social Media, Print"
736,384124,TV
737,323028,"Radio, Social Media, TV"
738,223174,"Print, TV, Social Media"
739,148033,"TV, Outdoor, Print"
740,291344,"Online, TV, Social Media"
741,479819,"Radio, Outdoor, Social Media"
742,368648,"Radio, Print, Outdoor"
743,175710,"Online, Print"
744,384313,Social Media
745,276818,"TV, Social Media, Print"
746,71608,Radio
747,327891,TV
748,155253,Social Media
749,234346,"Social Media, Online"
750,265310,"Social Media, Print, TV"
751,409689,Online
752,311031,"Outdoor, TV"
753,203043,"Print, TV"
754,345762,"Print, Radio, TV"
755,136443,"Print, Outdoor"
756,420257,Outdoor
757,140644,Outdoor
758,301339,"Outdoor, Social Media"
759,142308,"Print, Radio, Outdoor"
760,196503,TV
761,240120,"Outdoor, Social Media, Print"
762,215339,Online
763,470240,TV
764,150571,TV
765,131067,"Radio, Outdoor, Print"
766,282891,"Radio, TV, Print"
767,477012,"Print, TV, Radio"
768,276498,Outdoor
769,481719,"TV, Online"
770,135660,"Print, Social Media"
771,54615,"Online, Print, Outdoor"
772,186325,TV
773,337189,"Radio, Print, Social Media"
774,316423,Radio
775,158776,Social Media
776,347708,"Social Media, TV, Radio"
777,423611,Outdoor
778,359238,"Social Media, Print"
779,377536,"Radio, Print"
780,188423,Outdoor
781,288144,"Social Media, Online, Print"
782,69217,"Social Media, Radio"
783,211587,Print
784,417075,"Outdoor, Radio"
785,405549,Radio
786,473360,Radio
787,485943,"Outdoor, TV, Print"
788,487703,"Outdoor, Social Media, Radio"
789,120822,"Online, TV, Print"
790,104285,"Outdoor, Radio, Social Media"
791,443787,TV
792,222412,"Print, Outdoor"
793,210733,"Print, Online, Radio"
794,290153,"Outdoor, Social Media, TV"
795,253136,Print
796,150368,"Outdoor, TV, Print"
797,430076,"Outdoor, TV, Online"
798,459167,"Social Media, Outdoor"
799,386378,Online
800,71632,"TV, Radio, Print"
801,103062,"TV, Radio"
802,205705,"Online, TV"
803,300520,"Outdoor, Social Media"
804,324282,Social Media
805,94998,"Outdoor, Print, Radio"
806,482109,"Print, Online, Social Media"
807,288307,"Online, TV"
808,244286,"TV, Print"
809,136003,Radio
810,477880,Outdoor
811,251328,"Print, Online, Social Media"
812,103003,"Social Media, TV, Print"
813,326464,"Print, Radio, Social Media"
814,207569,Outdoor
815,413598,"Social Media, Print, Radio"
816,295460,"Radio, Online, Outdoor"
817,97565,TV
818,387772,"Radio, Social Media"
819,187100,Print
820,233710,"Social Media, Radio"
821,399040,"Print, Social Media, TV"
822,97904,Outdoor
823,490001,"Online, TV"
824,365939,"Radio, Print"
825,136667,"Social Media, Online"
826,76156,"TV, Online, Print"
827,295041,Radio
828,220666,"Radio, Social Media"
829,63277,Outdoor
830,324148,"Print, Outdoor, Online"
831,188937,Print
832,194892,"Online, TV"
833,122977,"Online, Print, TV"
834,113170,Outdoor
835,114954,"Outdoor, Online, Print"
836,448727,"Print, Radio"
837,289885,Online
838,261242,"Print, Radio, Online"
839,367010,"Print, Social Media"
840,193895,"Outdoor, Online, TV"
841,420001,"TV, Print, Outdoor"
842,138738,Social Media
843,411199,"Print, Radio, Outdoor"
844,75221,"Social Media, TV, Print"
845,120578,"Radio, Online, Print"
846,451695,"Print, Outdoor, Social Media"
847,99054,"Online, Radio"
848,160501,"TV, Radio, Online"
849,69214,Outdoor
850,319399,"Online, Print, Social Media"
851,197470,"Social Media, Print, Radio"
852,335069,"Social Media, Radio"
853,88601,"Radio, Outdoor, TV"
854,227797,Social Media
855,217255,Social Media
856,291574,"Social Media, Print, Outdoor"
857,182765,"Print, Social Media"
858,493140,"Online, Outdoor, Radio"
859,192214,"Social Media, Print"
860,363367,Outdoor
861,214835,Social Media
862,290135,"Outdoor, Online, Radio"
863,152001,"TV, Social Media"
864,127756,Radio
865,487576,Radio
866,293423,Online
867,257365,Print
868,338708,"Social Media, Outdoor, Online"
869,150554,"Online, Outdoor"
870,419888,Online
871,161706,Online
872,294138,"Online, Social Media"
873,107231,"Radio, TV, Print"
874,308555,"Radio, Online"
875,267330,"Print, Outdoor"
876,176291,Radio
877,188387,"Online, TV"
878,54415,Radio
879,62292,"Social Media, Print, Online"
880,320386,"Print, Radio, TV"
881,373269,Outdoor
882,296106,Online
883,86860,Print
884,473392,"Radio, Print, Social Media"
885,371044,Print
886,156819,"Radio, Social Media, TV"
887,352169,Print
888,100156,TV
889,400725,"Radio, Outdoor"
890,266416,"Outdoor, TV"
891,234216,"TV, Online, Print"
892,54116,"Online, TV, Social Media"
893,343614,"Radio, Social Media"
894,423051,"Social Media, Radio, Online"
895,179734,"Radio, Print"
896,55296,"Print, Radio"
897,398892,"Outdoor, Online, TV"
898,336049,Outdoor
899,399600,Radio
900,292242,"Radio, TV, Outdoor"
901,257425,"Print, TV, Online"
902,148712,TV
903,85477,"Print, Radio, Online"
904,262151,"Radio, Print"
905,440779,"Online, Radio"
906,76706,"TV, Social Media"
907,495093,Radio
908,476146,"Print, Social Media, Outdoor"
909,338332,Online
910,461395,"Outdoor, Online, Social Media"
911,299088,"Radio, Outdoor, TV"
912,232063,TV
913,307261,"TV, Outdoor"
914,444450,"Radio, TV, Print"
915,480884,Social Media
916,427139,"Radio, Online, Outdoor"
917,130857,Outdoor
918,316282,"Print, Radio"
919,250140,"Outdoor, Radio"
920,266569,Online
921,242707,Social Media
922,80401,"Print, Social Media, Online"
923,430656,"Radio, Outdoor, Print"
924,490265,"TV, Outdoor"
925,144380,Print
926,329880,"Social Media, Radio"
927,291456,"Print, Radio"
928,453423,"Outdoor, Radio, Social Media"
929,366846,"Outdoor, TV"
930,387348,"Social Media, Print, TV"
931,478357,TV
932,348564,Radio
933,254101,"Outdoor, TV"
934,73358,"Online, Print, Outdoor"
935,457864,Online
936,315377,"Online, Outdoor"
937,357042,TV
938,277384,Print
939,227130,"Social Media, Print"
940,276749,Radio
941,71827,"Online, Print"
942,409061,"Radio, TV, Outdoor"
943,121087,"Online, TV"
944,199698,"Outdoor, Social Media, TV"
945,89148,"Social Media, TV, Radio"
946,418976,"Online, Radio, Social Media"
947,125755,Radio
948,229514,"Print, Outdoor, Online"
949,236965,"Social Media, Radio, Online"
950,192392,"Online, Radio"
951,437056,Print
952,397302,Outdoor
953,384655,"Social Media, Radio"
954,151303,"Online, Radio"
955,135284,"Print, Outdoor, TV"
956,160967,"Print, Online"
957,223773,"Social Media, Print"
958,265440,"Social Media, TV"
959,162578,"Online, Social Media, Print"
960,255993,"TV, Social Media, Online"
961,132972,TV
962,171028,Outdoor
963,167334,Print
964,377204,Outdoor
965,256323,"Outdoor, Radio"
966,326848,Radio
967,351188,Online
968,80831,Online
969,407677,Social Media
970,177787,Radio
971,279389,"Outdoor, Online"
972,202274,Radio
973,398115,Social Media
974,152715,"Radio, Social Media, Outdoor"
975,483694,"TV, Social Media, Radio"
976,230055,Print
977,370236,"Social Media, Radio"
